,EXECUTING,,,,,,,,,INFLUENCING,,,,,,,,RELATIONSHIP BUILDING,,,,,,,,,STRATEGIC THINKING,,,,,,,,
,Achiever,Arranger,Belief,Consistency,Deliberative,Discipline,Focus,Responsibility,Restorative,Activator,Command,Communication,Competition,Maximizer,Self-Assurance,Significance,Woo,Adaptability,Connectedness,Developer,Empathy,Harmony,Includer,Individualization,Positivity,Relator,Analytical,Context,Futuristic,Ideation,Input,Intellection,Learner,Strategic,
A,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,2,5,
B,,,,,2,,,4,,,,,,,,,,,,,,,,,,5,1,,,,,,,3,
C,3,,,,4,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,5,,
D,2,,,,,,,,,,,,,,,,,,,,5,,3,4,,,,,,,,,1,,
E,1,3,,,,,,2,,,,,,,,,,,,,,,,5,,,,,,,,,4,,
F,3,4,,,,,,,,,,,,,,,,,,,,,,1,,,,,,5,,,2,,
G,,,,,,,,,,4,,,3,5,,2,,,,,,,,,,1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Copyright © 2000, 2013 Gallup, Inc. All rights reserved. Gallup®, StrengthsFinder®, Clifton StrengthsFinder®, and each of the 34 Clifton StrengthsFinder theme names are trademarks of Gallup, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
